Use of Funds Descriptions,,,,,,,,,
BASIC: Mandated Improvement Activities include - Administration of surveys; Implementation of evidence-based interventions identified within the 2020-21 SCEP; Implementation of activities other than activities identified as evidence-based interventions in the 2020-21 DCIP/SCEP(s); Planning and development of 2020-2021 (only for newly identified TSI schools) and 2021-22 improvement plans; Implementation of Participatory Budgeting (PB) or one of the approved alternatives to PB in CSI Schools. ,,,,,,,,,
TARGETED SUPPORT: The funds must directly connect to established Demonstrable Improvement Indicators (DIIs) for all eligle CSI schools and established School Comprehensive Education Plan (SCEP) goals for all eligble TSI schools. The funds must support activities and expenses that will increase the likelihood of the school reaching its DIIs or SCEP goals.,,,,,,,,,
"ENHANCED: Five of the options available to schools involve participation in a Professional Learning Community and school-specific coaching organized by the Office of Accountability. These five options, referred to as “Enhanced” options, are: High School Redesign (two-year program); Enhancing Principal Leadership (two-year program); Developing a Restorative School; Instructional Coaching Consortium (ICC); Leveraging Digital Learning",,,,,,,,,
"NYSIP-PLC: Increase student achievement in New York State Title I Schools, particularly those schools identified for improvement, by encouraging greater integration by race and ethnicity, as well as socioeconomic, special education, and English language learner/Multilingual learner (ELL/MLL) status.",,,,,,,,,
Green - Target District,,,,,,,,,
Yellow - New Target District,,,,,,,,,
,,,Basic,,,,,,
KINGSTON CITY SD,620600010011,CHAMBERS SCHOOL,,,"$50,000",,,,Basic
KINGSTON CITY SD,620600010012,GEORGE WASHINGTON SCHOOL,,,"$50,000",,,,Basic
KINGSTON CITY SD,620600010014,JOHN F KENNEDY SCHOOL,,"$200,000",,,"$20,000",,Developing a Restorative School & Basic
KINGSTON CITY SD,620600010015,E R CROSBY ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
KINGSTON CITY SD,620600010020,J WATSON BAILEY MIDDLE SCHOOL,,,"$50,000",,,,Basic
KINGSTON CITY SD,620600010025,M CLIFFORD MILLER MIDDLE SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
LACKAWANNA CITY SD,141800010000,LACKAWANNA CITY SD,"$50,000",,,,,,Basic
LACKAWANNA CITY SD,141800010008,LACKAWANNA HIGH SCHOOL,,,"$50,000",,,,Basic
LACKAWANNA CITY SD,141800010010,TRUMAN ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
LAFAYETTE CSD,420807040000,LAFAYETTE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
LAFAYETTE CSD,420807040002,ONONDAGA NATION SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
LAFAYETTE CSD,420807040003,LA FAYETTE JUNIOR-SENIOR HIGH SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
LANSINGBURGH CSD,490601060000,LANSINGBURGH CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
LANSINGBURGH CSD,490601060002,KNICKERBACKER MIDDLE SCHOOL,,"$200,000",,,,,Basic
LIBERTY CSD,590901060000,LIBERTY CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
LIBERTY CSD,590901060006,LIBERTY MIDDLE/HIGH SCHOOL,,,"$75,000",,,,Basic
LINDENHURST UFSD,580104030000,LINDENHURST UFSD,"$50,000",,,,,,Basic
LINDENHURST UFSD,580104030001,ALBANY AVENUE SCHOOL,,,"$50,000",,,,Basic
LIVINGSTON MANOR CSD,591302040000,LIVINGSTON MANOR CSD,"$50,000",,,,,,Basic
LOCKPORT CITY SD,400400010000,LOCKPORT CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
LOCKPORT CITY SD,400400010009,EMMET BELKNAP INTERMEDIATE SCHOOL,,,"$50,000",,,,Basic
LOCKPORT CITY SD,400400010010,NORTH PARK JUNIOR HIGH SCHOOL,,"$200,000",,,"$10,000",,Instructional Coaching Consortium & Basic
LONG BEACH CITY SD,280300010000,LONG BEACH CITY SD,"$50,000",,,,,,Basic
LONG BEACH CITY SD,280300010006,LONG BEACH MIDDLE SCHOOL,,,"$50,000",,,,Basic
LONGWOOD CSD,580212060000,LONGWOOD CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
LONGWOOD CSD,580212060007,LONGWOOD MIDDLE SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
MADISON CSD,251101040000,MADISON CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
MADISON CSD,251101040003,MADISON CENTRAL SCHOOL,,"$200,000",,,"$20,000",,Developing a Restorative School & Basic
MADRID-WADDINGTON CSD,511901040000,MADRID-WADDINGTON CSD,"$50,000",,,,,,Basic
MADRID-WADDINGTON CSD,511901040004,MADRID-WADDINGTON ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
MALONE CSD,161501060000,MALONE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
MALONE CSD,161501060006,FLANDERS ELEMENTARY SCHOOL,,"$200,000",,,,,Basic
MALONE CSD,161501060011,DAVIS ELEMENTARY SCHOOL,,"$200,000",,,,,Basic
MALONE CSD,161501060015,MALONE MIDDLE SCHOOL,,"$200,000",,,,,Basic
MASSENA CSD,512001060000,MASSENA CSD,"$50,000",,,,,,Basic
MAYFIELD CSD,170801040000,MAYFIELD CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
MAYFIELD CSD,170801040002,MAYFIELD JR/SR HIGH SCHOOL,,"$200,000",,,,,Basic
MIDDLE COUNTRY CSD,580211060000,MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
MIDDLE COUNTRY CSD,580211060005,OXHEAD ROAD SCHOOL,,,"$50,000",,,,Basic
MIDDLE COUNTRY CSD,580211060014,STAGECOACH SCHOOL,,"$200,000",,,,,Basic
MIDDLE COUNTRY CSD,580211060017,NEW LANE MEMORIAL ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
MONTICELLO CSD,591401060000,MONTICELLO CSD,"$50,000",,,,,,Basic
MONTICELLO CSD,591401060006,ROBERT J KAISER MIDDLE SCHOOL,,,"$50,000",,,,Basic
MOUNT MARKHAM CSD,212001040000,MOUNT MARKHAM CSD,"$50,000",,,,,,Basic
MOUNT MORRIS CSD,240901040000,MOUNT MORRIS CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
MOUNT MORRIS CSD,240901040001,MOUNT MORRIS MIDDLE/SENIOR HIGH SCHOOL,,"$200,000",,,,,Basic
MOUNT VERNON SD,660900010000,MOUNT VERNON SCHOOL DISTRICT,"$50,000",,,,,,Basic
MOUNT VERNON SD,660900010013,MOUNT VERNON HIGH SCHOOL,,,"$75,000",,,,Basic
NEW ROCHELLE CITY SD,661100010000,NEW ROCHELLE CITY SD,"$50,000",,,,,,Basic
NEW ROCHELLE CITY SD,661100010013,ALBERT LEONARD MIDDLE SCHOOL,,,"$50,000",,,,Basic
NEW YORK MILLS UFSD,411504020000,NEW YORK MILLS UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
NEW YORK MILLS UFSD,411504020001,NEW YORK MILLS JUNIOR-SENIOR HIGH SCHOOL,,"$200,000",,,,,Basic
NEWARK CSD,650101060000,NEWARK CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
NEWARK CSD,650101060001,PERKINS ELEMENTARY SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
NEWARK CSD,650101060002,NORMAN R KELLEY INTERMEDIATE SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
NEWARK CSD,650101060005,NEWARK MIDDLE SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
NEWBURGH CITY SD,441600010000,NEWBURGH CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
NEWBURGH CITY SD,441600010001,BALMVILLE SCHOOL,,,"$50,000",,,,Basic
NEWBURGH CITY SD,441600010003,HERITAGE MIDDLE SCHOOL,,,"$75,000",,,,Basic
NEWBURGH CITY SD,441600010006,GAMS HIGH TECH MAGNET SCHOOL,,,"$50,000",,,,Basic
NEWBURGH CITY SD,441600010012,VAILS GATE HIGH TECH MAGNET SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
NEWBURGH CITY SD,441600010016,SOUTH MIDDLE SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
NEWCOMB CSD,151001040000,NEWCOMB CSD,"$50,000",,,,,,Basic
NIAGARA FALLS CITY SD,400800010000,NIAGARA FALLS CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
NIAGARA FALLS CITY SD,400800010010,SEVENTY NINTH STREET SCHOOL,,,"$50,000",,,,Basic
NIAGARA FALLS CITY SD,400800010015,HENRY J KALFAS MAGNET SCHOOL,,,"$50,000",,,,Basic
NIAGARA FALLS CITY SD,400800010040,GASKILL PREPARATORY SCHOOL,,,"$75,000",,,,Basic
NIAGARA-WHEATFIELD CSD,400701060000,NIAGARA-WHEATFIELD CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
NIAGARA-WHEATFIELD CSD,400701060004,COLONIAL VILLAGE ELEMENTARY SCHOOL,,"$200,000",,,,,Basic
NORTH BABYLON UFSD,580103030000,NORTH BABYLON UFSD,"$50,000",,,,,,Basic
NORTH BABYLON UFSD,580103030002,ROBERT MOSES MIDDLE SCHOOL,,,"$50,000",,,,Basic
NORTH BELLMORE UFSD,280204020000,NORTH BELLMORE UFSD,"$50,000",,,,,,Basic
NORTH BELLMORE UFSD,280204020004,PARK AVENUE SCHOOL,,,"$50,000",,,,Basic
NORTH BELLMORE UFSD,280204020007,MARTIN AVENUE ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
NORTH COLLINS CSD,142201040000,NORTH COLLINS CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
NORTH COLLINS CSD,142201040001,NORTH COLLINS JUNIOR-SENIOR HIGH SCHOOL,,"$200,000",,,,,Basic
NORTH SYRACUSE CSD,420303060000,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
NORTH SYRACUSE CSD,420303060007,ROXBORO ROAD ELEMENTARY SCHOOL,,"$200,000",,,,,Basic
NORTH SYRACUSE CSD,420303060010,NORTH SYRACUSE JUNIOR HIGH SCHOOL,,,"$75,000",,,,Basic
NORTH SYRACUSE CSD,420303060011,ROXBORO ROAD MIDDLE SCHOOL,,,"$50,000",,,,Basic
NORTHEAST CSD,131101040000,NORTHEAST CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
NORTHEAST CSD,131101040006,WEBUTUCK ELEMENTARY SCHOOL,,"$200,000",,,,,Basic
ODESSA-MONTOUR CSD,550101040000,ODESSA-MONTOUR CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
ODESSA-MONTOUR CSD,550101040003,ODESSA-MONTOUR JUNIOR/SENIOR HIGH SCHOOL,,"$200,000",,,"$10,000",,Instructional Coaching Consortium & Basic
OGDENSBURG CITY SD,512300010000,OGDENSBURG CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
OGDENSBURG CITY SD,512300010009,OGDENSBURG FREE ACADEMY,,"$200,000",,,,,Basic
OLEAN CITY SD,042400010000,OLEAN CITY SD,"$50,000",,,,,,Basic
ONEIDA CITY SD,251400010000,ONEIDA CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
ONEIDA CITY SD,251400010003,NORTH BROAD STREET SCHOOL,,"$200,000",,,,,Basic
ONEIDA CITY SD,251400010008,OTTO L SHORTELL MIDDLE SCHOOL,,,"$50,000",,,,Basic
ONEONTA CITY SD,471400010000,ONEONTA CITY SD,"$50,000",,,,,,Basic
ONEONTA CITY SD,471400010007,ONEONTA MIDDLE SCHOOL,,,"$75,000",,,,Basic
ONTEORA CSD,621201060000,ONTEORA CSD,"$50,000",,,,,,Basic
ONTEORA CSD,621201060006,ONTEORA MIDDLE SCHOOL,,,"$50,000",,,,Basic
ORCHARD PARK CSD,142301060000,ORCHARD PARK CSD,"$50,000",,,,,,Basic
OSSINING UFSD,661401030000,OSSINING UFSD,"$50,000",,,,,,Basic
OSSINING UFSD,661401030006,ANNE M DORNER MIDDLE SCHOOL,,,"$50,000",,,,Basic
OSWEGO CITY SD,461300010000,OSWEGO CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
OSWEGO CITY SD,461300010007,OSWEGO MIDDLE SCHOOL,,"$200,000",,,,,Basic
PATCHOGUE-MEDFORD UFSD,580224030000,PATCHOGUE-MEDFORD UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
PATCHOGUE-MEDFORD UFSD,580224030001,BARTON ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
PATCHOGUE-MEDFORD UFSD,580224030002,TREMONT ELEMENTARY SCHOOL,,"$200,000",,,"$10,000",,Leveraging Digital Learning & Basic
PATCHOGUE-MEDFORD UFSD,580224030003,BAY ELEMENTARY SCHOOL,,"$200,000",,,"$10,000",,Instructional Coaching Consortium & Basic
PATCHOGUE-MEDFORD UFSD,580224030004,MEDFORD ELEMENTARY SCHOOL,,"$200,000",,,"$10,000",,Leveraging Digital Learning & Basic
PATCHOGUE-MEDFORD UFSD,580224030007,SOUTH OCEAN MIDDLE SCHOOL,,,"$50,000",,,,Basic
PATCHOGUE-MEDFORD UFSD,580224030009,EAGLE ELEMENTARY SCHOOL,,"$200,000",,,"$10,000",,Leveraging Digital Learning & Basic
PATCHOGUE-MEDFORD UFSD,580224030010,CANAAN ELEMENTARY SCHOOL,,"$200,000",,,"$10,000",,Instructional Coaching Consortium & Basic
PATCHOGUE-MEDFORD UFSD,580224030011,SAXTON MIDDLE SCHOOL,,,"$50,000",,,,Basic
PEEKSKILL CITY SD,661500010000,PEEKSKILL CITY SCHOOL DISTRICT,"$50,000",,,,,"$171,318",NYSIP & Basic
PEEKSKILL CITY SD,661500010001,HILLCREST SCHOOL,,"$200,000",,,"$20,000",,Enhancing Principal Leadership Yr 1 & Basic
PEEKSKILL CITY SD,661500010002,OAKSIDE SCHOOL,,,"$50,000",,,,Basic
PENN YAN CSD,680601060000,PENN YAN CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
PENN YAN CSD,680601060002,PENN YAN MIDDLE SCHOOL,,,"$50,000",,,,Basic
PINE BUSH CSD,440401060000,PINE BUSH CSD,"$50,000",,,,,,Basic
PINE BUSH CSD,440401060001,E J RUSSELL ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
PINE BUSH CSD,440401060004,CRISPELL MIDDLE SCHOOL,,,"$50,000",,,,Basic
PINE BUSH CSD,440401060007,CIRCLEVILLE MIDDLE SCHOOL,,,"$50,000",,,,Basic
PORT CHESTER-RYE UFSD,661904030000,PORT CHESTER-RYE UFSD,"$50,000",,,,,,Basic
PORT CHESTER-RYE UFSD,661904030010,PORT CHESTER MIDDLE SCHOOL,,,"$50,000",,,,Basic
PORT JERVIS CITY SD,441800050000,PORT JERVIS CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
PORT JERVIS CITY SD,441800050005,PORT JERVIS MIDDLE SCHOOL,,,"$50,000",,,,Basic
POUGHKEEPSIE CITY SD,131500010000,POUGHKEEPSIE CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
POUGHKEEPSIE CITY SD,131500010001,WARRING MAGNET ACADEMY OF SCIENCE AND TECHNOLOGY,,,"$50,000",,,,Basic
POUGHKEEPSIE CITY SD,131500010003,GOV GEORGE CLINTON SCHOOL,,,"$50,000",,,,Basic
POUGHKEEPSIE CITY SD,131500010009,MORSE YOUNG MAGNET SCHOOL,,"$200,000",,"$150,000",,,Targeted & Basic
POUGHKEEPSIE CITY SD,131500010010,POUGHKEEPSIE HIGH SCHOOL,,,"$50,000",,,,Basic
POUGHKEEPSIE CITY SD,131500010011,POUGHKEEPSIE MIDDLE SCHOOL,,,"$50,000","$150,000",,,Targeted & Basic
QUEENSBURY UFSD,630902030000,QUEENSBURY UFSD,"$50,000",,,,,,Basic
RAMAPO CSD (SUFFERN),500401060000,RAMAPO CSD (SUFFERN),"$50,000",,,,,,Basic
RAMAPO CSD (SUFFERN),500401060012,VIOLA ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
RENSSELAER CITY SD,491200010000,RENSSELAER CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
RENSSELAER CITY SD,491200010006,VAN RENSSELAER ELEMENTARY SCHOOL,,"$200,000",,,,,Basic
RIVERHEAD CSD,580602040000,RIVERHEAD CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
RIVERHEAD CSD,580602040002,ROANOKE AVENUE SCHOOL,,"$200,000",,,,,Basic
RIVERHEAD CSD,580602040006,RIVERHEAD MIDDLE SCHOOL,,"$200,000",,,,,Basic
RIVERHEAD CSD,580602040009,PULASKI STREET ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
ROCHESTER CITY SD,261600010000,ROCHESTER CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
ROCHESTER CITY SD,261600010002,SCHOOL 2-CLARA BARTON,,,"$50,000",,,,Basic
ROCHESTER CITY SD,261600010003,SCHOOL 3-NATHANIEL ROCHESTER,,,"$50,000","$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010005,SCHOOL 5-JOHN WILLIAMS,,,"$50,000",,,,Basic
ROCHESTER CITY SD,261600010007,SCHOOL 7-VIRGIL GRISSOM,,"$200,000",,,,,Basic
ROCHESTER CITY SD,261600010008,SCHOOL 8-ROBERTO CLEMENTE,,,"$50,000","$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010010,DR WALTER COOPER ACADEMY,,$0,,"$150,000",,,Targeted
ROCHESTER CITY SD,261600010012,SCHOOL 12-JAMES P B DUFFY,,"$200,000",,,"$20,000",,Enhancing Principal Leadership Yr 1 & Basic
ROCHESTER CITY SD,261600010016,SCHOOL 16-JOHN WALTON SPENCER,,"$200,000",,"$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010017,SCHOOL 17-ENRICO FERMI,,,"$50,000","$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010019,SCHOOL 19-DR CHARLES T LUNSFORD,,$0,,"$150,000",,,Targeted
ROCHESTER CITY SD,261600010022,SCHOOL 22-LINCOLN SCHOOL,,,"$50,000",,,,Basic
ROCHESTER CITY SD,261600010028,SCHOOL 28-HENRY HUDSON,,"$200,000",,"$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010033,SCHOOL 33-AUDUBON,,"$200,000",,"$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010035,SCHOOL 35-PINNACLE,,,"$50,000",,,,Basic
ROCHESTER CITY SD,261600010039,SCHOOL 39-ANDREW J TOWNSON,,,"$75,000",,,,Basic
ROCHESTER CITY SD,261600010045,SCHOOL 45-MARY MCLEOD BETHUNE,,,"$50,000","$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010050,SCHOOL 50-HELEN BARRETT MONTGOMERY,,,"$75,000",,,,Basic
ROCHESTER CITY SD,261600010052,SCHOOL 52-FRANK FOWLER DOW,,,"$50,000",,,,Basic
ROCHESTER CITY SD,261600010054,SCHOOL 54-FLOWER CITY COMMUNITY SCHOOL,,,"$75,000",,,,Basic
ROCHESTER CITY SD,261600010058,SCHOOL 58-WORLD OF INQUIRY SCHOOL,,,"$75,000",,,,Basic
ROCHESTER CITY SD,261600010061,EAST UPPER HIGH SCHOOL,,"$200,000",,"$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010066,JAMES MONROE HIGH SCHOOL,,"$200,000",,"$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010067,JOSEPH C WILSON MAGNET HIGH SCHOOL,,"$200,000",,,"$10,000",,Instructional Coaching Consortium & Basic
ROCHESTER CITY SD,261600010068,JOSEPH C WILSON FOUNDATION ACADEMY,,"$200,000",,"$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010073,NORTHEAST COLLEGE PREPARATORY HIGH SCHOOL,,"$200,000",,"$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010089,NORTHWEST COLLEGE PREPARATORY HIGH SCHOOL,,"$200,000",,,"$20,000",,Enhancing Principal Leadership Yr 1 & Basic
ROCHESTER CITY SD,261600010095,EDISON CAREER AND TECHNOLOGY HS/ROBERT BROWN SCHOOL OF CONSTRUCTION AND DESIGN,,"$200,000",,"$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010103,LEADERSHIP ACADEMY FOR YOUNG MEN,,"$200,000",,"$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010105,EAST LOWER SCHOOL,,"$200,000",,"$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010107,MONROE LOWER SCHOOL,,,"$50,000","$150,000",,,Targeted & Basic
ROCHESTER CITY SD,261600010108,FRANKLIN UPPER SCHOOL,,,,"$150,000","$50,000",,HS Redesign Year 1 & Targeted
ROCHESTER CITY SD,261600010109,FRANKLIN LOWER SCHOOL,,,,"$150,000","$20,000",,Enhancing Principal Leadership Yr 1 & Targeted
ROME CITY SD,411800010000,ROME CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
ROME CITY SD,411800010001,GANSEVOORT ELEMENTARY SCHOOL,,"$200,000",,,"$20,000",,Enhancing Principal Leadership Yr 1 & Basic
ROME CITY SD,411800010008,BELLAMY ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
ROME CITY SD,411800010015,JOHN E JOY ELEMENTARY SCHOOL,,"$200,000",,,"$20,000",,Enhancing Principal Leadership Yr 1 & Basic
ROME CITY SD,411800010023,LOUIS V DENTI ELEMENTARY SCHOOL,,"$200,000",,,"$20,000",,Enhancing Principal Leadership Yr 1 & Basic
ROME CITY SD,411800010025,GEORGE R STALEY UPPER ELEMENTARY SCHOOL,,"$200,000",,,"$20,000",,Enhancing Principal Leadership Yr 1 & Basic
RONDOUT VALLEY CSD,620901060000,RONDOUT VALLEY CSD,"$50,000",,,,,,Basic
RONDOUT VALLEY CSD,620901060009,RONDOUT VALLEY INTERMEDIATE SCHOOL,,,"$50,000",,,,Basic
ROOSEVELT UFSD,280208030000,ROOSEVELT UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
ROOSEVELT UFSD,280208030005,ROOSEVELT HIGH SCHOOL,,,"$50,000",,,,Basic
ROOSEVELT UFSD,280208030009,ROOSEVELT MIDDLE SCHOOL,,"$200,000",,,"$20,000",,Enhancing Principal Leadership Yr 1 & Basic
ROSCOE CSD,591301040000,ROSCOE CSD,"$50,000",,,,,,Basic
ROTTERDAM-MOHONASEN CSD,530515060000,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
ROTTERDAM-MOHONASEN CSD,530515060003,DRAPER MIDDLE SCHOOL,,"$200,000",,,"$20,000",,Enhancing Principal Leadership Yr 1 & Basic
SACHEM CSD,580205060000,SACHEM CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
SACHEM CSD,580205060006,WAVERLY AVENUE SCHOOL,,"$200,000",,,,,Basic
SACHEM CSD,580205060011,SENECA MIDDLE SCHOOL,,,"$50,000",,,,Basic
SACHEM CSD,580205060013,CAYUGA SCHOOL,,"$200,000",,,,,Basic
SACHEM CSD,580205060014,MERRIMAC SCHOOL,,,"$50,000",,,,Basic
SALAMANCA CITY SD,043200050000,SALAMANCA CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
SALMON RIVER CSD,161201040000,SALMON RIVER CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
SALMON RIVER CSD,161201040005,SALMON RIVER MIDDLE SCHOOL,,"$200,000",,,"$10,000",,Instructional Coaching Consortium & Basic
SARANAC LAKE CSD,161401060000,SARANAC LAKE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
SARANAC LAKE CSD,161401060001,PETROVA ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
SARANAC LAKE CSD,161401060003,SARANAC LAKE MIDDLE SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
SCHENECTADY CITY SD,530600010000,SCHENECTADY CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
SCHENECTADY CITY SD,530600010008,MARTIN LUTHER KING SCHOOL,,"$200,000",,,,,Basic
SCHENECTADY CITY SD,530600010011,LINCOLN SCHOOL,,"$200,000",,,,,Basic
SCHENECTADY CITY SD,530600010013,PAIGE SCHOOL,,"$200,000",,,,,Basic
SCHENECTADY CITY SD,530600010014,PLEASANT VALLEY SCHOOL,,"$200,000",,,,,Basic
SCHENECTADY CITY SD,530600010017,YATES SCHOOL,,"$200,000",,,,,Basic
SCHENECTADY CITY SD,530600010024,MONT PLEASANT MIDDLE SCHOOL,,,"$75,000",,,,Basic
SCHENECTADY CITY SD,530600010025,SCHENECTADY HIGH SCHOOL,,,"$75,000",,,,Basic
SCHENECTADY CITY SD,530600010026,VAN CORLAER SCHOOL,,,"$50,000",,,,Basic
SCHENECTADY CITY SD,530600010030,WILLIAM C KEANE ELEMENTARY SCHOOL,,"$200,000",,"$150,000",,,Targeted & Basic
SCOTIA-GLENVILLE CSD,530202060000,SCOTIA-GLENVILLE CSD,"$50,000",,,,,,Basic
SCOTIA-GLENVILLE CSD,530202060007,SCOTIA-GLENVILLE MIDDLE SCHOOL,,,"$50,000",,,,Basic
SHELTER ISLAND UFSD,580701020000,SHELTER ISLAND UFSD,"$50,000",,,,,,Basic
SHERBURNE-EARLVILLE CSD,082001040000,SHERBURNE-EARLVILLE CSD,"$50,000",,,,,,Basic
SHERBURNE-EARLVILLE CSD,082001040002,SHERBURNE-EARLVILLE ELEMENTARY SCH,,,"$50,000",,,,Basic
SMITHTOWN CSD,580801060000,SMITHTOWN CSD,"$50,000",,,,,,Basic
SMITHTOWN CSD,580801060019,ACCOMPSETT MIDDLE SCHOOL,,,"$50,000",,,,Basic
SODUS CSD,651201060000,SODUS CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
SODUS CSD,651201060003,SODUS JR/SR HIGH SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
SODUS CSD,651201060004,SODUS INTERMEDIATE SCHOOL,,,"$50,000",,,,Basic
SOLVAY UFSD,420702030000,SOLVAY UFSD,"$50,000",,,,,,Basic
SOUTH COUNTRY CSD,580235060000,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
SOUTH COUNTRY CSD,580235060003,BROOKHAVEN ELEMENTARY SCHOOL,,"$200,000",,,,,Basic
SOUTH COUNTRY CSD,580235060004,BELLPORT MIDDLE SCHOOL,,"$200,000",,,,,Basic
SOUTH COUNTRY CSD,580235060007,VERNE W CRITZ ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
SOUTH HUNTINGTON UFSD,580413030000,SOUTH HUNTINGTON UFSD,"$50,000",,,,,,Basic
SOUTH HUNTINGTON UFSD,580413030009,COUNTRYWOOD PRIMARY CENTER,,,"$50,000",,,,Basic
SOUTHAMPTON UFSD,580906030000,SOUTHAMPTON UFSD,"$50,000",,,,,,Basic
SOUTHAMPTON UFSD,580906030002,SOUTHAMPTON INTERMEDIATE SCHOOL,,,"$50,000",,,,Basic
SOUTHOLD UFSD,581005020000,SOUTHOLD UFSD,"$50,000",,,,,,Basic
SOUTHOLD UFSD,581005020002,SOUTHOLD ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
SPENCERPORT CSD,261001060000,SPENCERPORT CSD,"$50,000",,,,,,Basic
SPENCERPORT CSD,261001060005,A M COSGROVE MIDDLE SCHOOL,,,"$50,000",,,,Basic
